AAR,BYDEL,ALDER,CIVST,KOEN,PERSONER
2015,1,0,U,1,324
2015,1,0,U,2,332
2015,1,1,U,1,322
2015,1,1,U,2,265
2015,1,2,U,1,276
2015,1,2,U,2,249
2015,1,3,U,1,248
2015,1,3,U,2,254
2015,1,4,U,1,266
2015,1,4,U,2,220
2015,1,5,U,1,241
2015,1,5,U,2,225
2015,1,6,U,1,225
2015,1,6,U,2,220
2015,1,7,U,1,214
2015,1,7,U,2,182
2015,1,8,U,1,220
2015,1,8,U,2,197
2015,1,9,U,1,189
2015,1,9,U,2,162
2015,1,10,U,1,211
2015,1,10,U,2,212
2015,1,11,U,1,199
2015,1,11,U,2,174
2015,1,12,U,1,193
2015,1,12,U,2,171
2015,1,13,U,1,202
2015,1,13,U,2,178
2015,1,14,U,1,180
2015,1,14,U,2,156
2015,1,15,U,1,202
2015,1,15,U,2,180
2015,1,16,U,1,175
2015,1,16,U,2,195
2015,1,17,U,1,178
2015,1,17,U,2,203
2015,1,18,U,1,171
2015,1,18,U,2,231
2015,1,19,U,1,247
2015,1,19,U,2,276
2015,1,20,F,1,1
2015,1,20,F,2,1
2015,1,20,G,2,2
2015,1,20,U,1,336
2015,1,20,U,2,424
2015,1,21,G,2,2
2015,1,21,U,1,440
2015,1,21,U,2,550
2015,1,22,F,2,1
2015,1,22,G,1,4
2015,1,22,G,2,3
2015,1,22,U,1,485
2015,1,22,U,2,603
2015,1,23,G,1,7
2015,1,23,G,2,13
2015,1,23,U,1,549
2015,1,23,U,2,653
2015,1,24,F,1,1
2015,1,24,F,2,1
2015,1,24,G,1,5
2015,1,24,G,2,12
2015,1,24,U,1,612
2015,1,24,U,2,718
2015,1,25,F,2,3
2015,1,25,G,1,13
2015,1,25,G,2,19
2015,1,25,P,1,1
2015,1,25,U,1,667
2015,1,25,U,2,708
2015,1,26,F,1,2
2015,1,26,F,2,4
2015,1,26,G,1,16
2015,1,26,G,2,36
2015,1,26,P,1,1
2015,1,26,U,1,647
2015,1,26,U,2,682
2015,1,27,F,1,2
2015,1,27,F,2,2
2015,1,27,G,1,26
2015,1,27,G,2,42
2015,1,27,O,1,1
2015,1,27,U,1,613
2015,1,27,U,2,574
2015,1,28,E,2,1
2015,1,28,F,1,3
2015,1,28,F,2,6
2015,1,28,G,1,45
2015,1,28,G,2,67
2015,1,28,O,2,1
2015,1,28,U,1,598
2015,1,28,U,2,541
2015,1,29,F,1,4
2015,1,29,F,2,1
2015,1,29,G,1,41
2015,1,29,G,2,97
2015,1,29,O,2,1
2015,1,29,P,1,1
2015,1,29,U,1,494
2015,1,29,U,2,505
2015,1,30,F,1,8
2015,1,30,F,2,7
2015,1,30,G,1,77
2015,1,30,G,2,103
2015,1,30,O,1,1
2015,1,30,P,1,1
2015,1,30,U,1,432
2015,1,30,U,2,413
2015,1,31,F,1,9
2015,1,31,F,2,14
2015,1,31,G,1,74
2015,1,31,G,2,112
2015,1,31,P,1,1
2015,1,31,U,1,445
2015,1,31,U,2,363
2015,1,32,F,1,8
2015,1,32,F,2,14
2015,1,32,G,1,90
2015,1,32,G,2,114
2015,1,32,O,1,1
2015,1,32,P,1,1
2015,1,32,P,2,1
2015,1,32,U,1,367
